neighbourhood,num_listings,avg_price,total_reviews,availability_30_rate
22,"1,808",271.28,"62,753",0.2
2,"1,207",315.88,"106,496",0.29
20,"1,199",280.47,"45,931",0.24
1,923,307.72,"76,899",0.34
4,736,255.04,"26,668",0.21
21,735,309.58,"29,444",0.24
13,654,251.66,"20,448",0.2
14,547,204.67,"16,461",0.17
18,485,370.5,"22,623",0.19
3,436,216.6,"13,988",0.2
19,318,268.3,"9,637",0.22
9,298,196.99,"10,169",0.23
5,206,193.24,"8,725",0.17
10,188,"1,730.39","7,819",0.2
15,188,191.05,"6,938",0.26
7,139,195.85,"4,972",0.24
8,125,"3,013.22","3,655",0.33
11,67,185.71,"4,486",0.26
6,66,144.51,"6,579",0.29
17,60,140.87,"3,690",0.28
12,57,168.62,"11,320",0.27
16,38,157.36,"1,383",0.15
